"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","I_0","R_0","LogLik"
44.175045463346,0.451244922695772,73.05,0.28050702884689,45.66,0.869962969576662,0.896939163318619,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.374246
44.1558112864073,0.450772956958127,73.05,0.280197881266232,45.66,0.861349474828379,0.904444988717351,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.384296
44.1943452943824,0.451723874484353,73.05,0.280813483440494,45.66,0.878662599272429,0.889613913464068,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.418
44.1370371391372,0.450304869414194,73.05,0.279900564228164,45.66,0.852821262206315,0.912066589992891,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.44696
44.2136833339899,0.452209401608754,73.05,0.281114642502156,45.66,0.887449225265153,0.882423005271201,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.516735
44.1186047241971,0.449851319692779,73.05,0.279602253221093,45.66,0.844377487332986,0.91987017786701,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.56103
44.2336526485221,0.452704402657362,73.05,0.281430804210852,45.66,0.896323717517805,0.875445882731946,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.671604
44.1004281918104,0.449394012663866,73.05,0.279317584176716,45.66,0.836017314191075,0.927876470624603,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.725287
44.253703765613,0.453202641589604,73.05,0.28174604377102,45.66,0.905286954692983,0.868582680139236,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.88374
44.0828334973519,0.448961893742321,73.05,0.279030628148039,45.66,0.827739915040668,0.936060092999066,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4231.938498
44.2741667319612,0.45371054687625,73.05,0.282069668483546,45.66,0.914339824239913,0.86191838005233,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4232.154249
44.0645901258816,0.448513964354651,73.05,0.278734567550553,45.66,0.819544470337295,0.944308491263787,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4232.199425
44.2950433009321,0.454226335255236,73.05,0.282398430268429,45.66,0.923483222482312,0.855368852466594,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4232.48421
44.0467753852459,0.448074255245378,73.05,0.278446317450564,45.66,0.811430168650787,0.952768888271601,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4232.506829
44.0295467789539,0.447655271344342,73.05,0.278160687196317,45.66,0.803396206584938,0.96144934962072,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4232.859457
44.3160101082805,0.454746260876461,73.05,0.28272719713336,45.66,0.932718054707135,0.848966934458505,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4232.874672
44.3374299120772,0.455274490142658,73.05,0.283065994826918,45.66,0.942045235254207,0.842761369289904,0.00519959689264,0.001718986732707,6.2401818195707E-05,0.993019014556457,-4233.326651
31.2366185962548,0.324398406443701,73.05,0.105848539844046,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.2366185962548,0.324398406443701,73.05,0.105848539844046,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.2366185962548,0.324398406443701,73.05,0.105848539844046,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.2366185962548,0.324398406443701,73.05,0.105848539844046,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.2366185962548,0.324398406443701,73.05,0.105848539844046,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.2366185962548,0.324398406443701,73.05,0.105848539844046,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.234543215511,0.324316872358564,73.05,0.105782537011397,45.66,0.574778146868335,0.914940365214302,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.551076
31.2386697011275,0.324479197953844,73.05,0.105913665903933,45.66,0.582193569390587,0.896912425462506,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.551381
31.2598336840079,0.324680512312881,73.05,0.106907025242486,45.66,0.579588166353141,0.905300361371782,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.554004
31.2290393051727,0.32402163762406,73.05,0.105614279968199,45.66,0.572772183526181,0.913514243351032,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.557186
31.2442742200752,0.324774593724787,73.05,0.10608605381126,45.66,0.584284904415058,0.898360474395243,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.55796
31.2140926781902,0.324164886065822,73.05,0.104800534499055,45.66,0.579236276405636,0.902509705934848,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.55797
31.2326927414142,0.324245943531057,73.05,0.105723290490955,45.66,0.571115296183404,0.924089768866445,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.610686
31.2405553845235,0.324545099642642,73.05,0.105977005041169,45.66,0.585881434104782,0.888032104418323,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.6136
31.2833814735489,0.324967666949587,73.05,0.107976095494911,45.66,0.5807044618828,0.904646224863004,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.624209
31.1916253581599,0.323907291594308,73.05,0.103762905444609,45.66,0.578684929031696,0.902111999529536,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.62819
31.2214801116595,0.323658389186504,73.05,0.105373031938136,45.66,0.5671011718081,0.921273059446837,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.635301
31.2515622755612,0.325151673866198,73.05,0.106302793277211,45.66,0.590127753459208,0.890941707064071,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.639717
31.1819283954912,0.3244188489487,73.05,0.105147955356698,45.66,0.579042184090022,0.904350247421447,0.716994640874387,0.001924897409624,5.33450336908809E-05,0.281027116682298,-4233.640237
31.1694600054498,0.323669918244211,73.05,0.104871191978341,45.66,0.573378142604715,0.915262509379418,0.716994673163304,0.001924897496309,5.33000024002958E-05,0.281027129337987,-4233.650355
31.2308258468803,0.324176238644713,73.05,0.105662853477316,45.66,0.567447664743362,0.93333066655511,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.708643
31.1674876843644,0.323593552791392,73.05,0.104808072512506,45.66,0.569709654659365,0.924415134473212,0.716994673163304,0.001924897496309,5.33000024002958E-05,0.281027129337987,-4233.710761
31.2422222498047,0.324617015457481,73.05,0.106026109326252,45.66,0.589559559064306,0.879239707344874,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.718787
